ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS
100000,M,N,Y,0,164000,Commercial associate,Secondary / secondary special,Widow,House / apartment,-20825,-520,1,0,0,0,Sales staff,1
100001,M,N,Y,4,279500,Student,Incomplete higher,Single / not married,With parents,-20848,-5574,1,1,0,0,Accountants,5
100002,F,Y,N,0,483500,Pensioner,Academic degree,Civil marriage,House / apartment,-22054,-8785,1,0,1,0,IT staff,2
100003,F,Y,Y,4,73000,Commercial associate,Incomplete higher,Single / not married,With parents,-10309,-6227,1,1,1,1,Managers,6
100004,M,N,Y,2,361500,Commercial associate,Academic degree,Married,With parents,-22147,-6216,1,1,0,1,Laborers,3
100005,F,N,N,0,83500,Commercial associate,Academic degree,Civil marriage,With parents,-23358,-6482,1,1,0,1,Managers,1
100006,F,N,N,4,235000,Commercial associate,Higher education,Widow,Municipal apartment,-9978,-12382,1,0,0,0,Cleaning staff,5
100007,M,N,N,3,355000,State servant,Academic degree,Civil marriage,Office apartment,-7376,-11145,1,0,1,1,Core staff,5
100008,M,N,Y,3,419500,Pensioner,Academic degree,Married,Office apartment,-10486,-14262,1,1,0,0,Accountants,4
100009,M,N,N,4,59500,Working,Incomplete higher,Civil marriage,With parents,-8898,-3946,1,0,0,1,Core staff,5
100010,F,Y,N,1,320000,Student,Lower secondary,Married,Office apartment,-13591,-11680,1,1,1,1,Security staff,3
100011,M,Y,Y,0,223000,Working,Academic degree,Widow,With parents,-14216,-117,1,0,0,0,Core staff,1
100012,M,Y,N,2,392500,State servant,Higher education,Widow,With parents,-22488,-3981,1,1,1,0,Core staff,3
100013,F,N,N,3,289000,Working,Secondary / secondary special,Single / not married,Municipal apartment,-18118,-13116,1,0,0,0,Sales staff,5
100014,F,Y,N,1,286500,Commercial associate,Secondary / secondary special,Separated,Office apartment,-10208,-828,1,0,0,0,Managers,3
100015,F,Y,N,3,80000,Commercial associate,Lower secondary,Single / not married,Municipal apartment,-15690,-12846,1,1,1,1,,5
100016,M,N,Y,1,79500,Student,Academic degree,Single / not married,Rented apartment,-8873,-821,1,1,0,0,IT staff,2
100017,M,Y,Y,1,256500,Working,Academic degree,Married,Office apartment,-8302,-10147,1,0,1,1,Drivers,2
100018,M,N,N,2,117000,Pensioner,Lower secondary,Civil marriage,House / apartment,-7305,-7508,1,0,0,0,IT staff,4
100019,F,Y,Y,1,239000,Pensioner,Higher education,Separated,Office apartment,-16912,-10021,1,0,1,0,Managers,3
100020,M,Y,N,0,194000,Student,Higher education,Civil marriage,With parents,-15650,-8280,1,1,1,0,Core staff,2
100021,M,Y,N,2,444500,Commercial associate,Incomplete higher,Married,Municipal apartment,-21014,-9189,1,0,0,0,,3
100022,M,N,Y,4,270000,Commercial associate,Secondary / secondary special,Civil marriage,Rented apartment,-8307,-14727,1,1,0,0,Cleaning staff,5
100023,F,Y,Y,2,492500,Commercial associate,Higher education,Separated,House / apartment,-12877,-12067,1,1,1,0,Drivers,3
100024,F,Y,N,0,163500,Commercial associate,Lower secondary,Civil marriage,Rented apartment,-14457,-3652,1,0,0,1,Accountants,2
100025,F,N,N,0,397500,Student,Incomplete higher,Single / not married,House / apartment,-15559,-2925,1,1,0,0,Cooking staff,2
100026,F,N,Y,2,247000,Student,Higher education,Civil marriage,House / apartment,-21288,-27,1,0,1,1,Core staff,4
100027,F,Y,N,4,309500,Pensioner,Lower secondary,Civil marriage,Municipal apartment,-16688,-9083,1,0,0,1,Cleaning staff,6
100028,F,N,Y,1,205500,Pensioner,Higher education,Separated,Office apartment,-17559,-7618,1,1,1,0,IT staff,3
100029,M,N,N,1,97500,Commercial associate,Incomplete higher,Married,With parents,-11828,-400,1,0,0,1,Cooking staff,2
100030,F,Y,N,3,303000,State servant,Higher education,Married,House / apartment,-10492,-12753,1,1,0,0,,5
100031,M,Y,N,0,118000,State servant,Academic degree,Widow,Office apartment,-17397,-12374,1,1,1,1,Managers,2
100032,F,Y,N,3,442000,Student,Lower secondary,Married,Rented apartment,-21413,-1269,1,1,0,1,Accountants,5
100033,M,Y,Y,4,168000,State servant,Higher education,Married,House / apartment,-20594,-6678,1,1,1,1,Laborers,5
100034,F,Y,N,3,294000,Working,Incomplete higher,Civil marriage,Municipal apartment,-20730,-8818,1,0,1,0,Drivers,5
100035,M,N,N,3,392000,State servant,Higher education,Separated,With parents,-24502,-441,1,1,0,0,Cleaning staff,5
100036,F,Y,Y,1,183000,State servant,Incomplete higher,Married,Municipal apartment,-17710,-5529,1,1,1,1,Drivers,2
100037,M,Y,N,3,164500,Working,Secondary / secondary special,Single / not married,With parents,-13532,-13749,1,0,0,0,Managers,5
100038,M,N,N,0,442500,Pensioner,Higher education,Widow,Office apartment,-10753,-12743,1,0,1,0,Cooking staff,1
100039,F,N,Y,2,88500,Student,Higher education,Single / not married,Rented apartment,-10966,-13045,1,0,1,1,Cleaning staff,4
100040,F,Y,N,0,471000,State servant,Secondary / secondary special,Separated,Rented apartment,-22064,-11588,1,0,1,0,,2
100041,F,N,N,4,472500,Student,Incomplete higher,Civil marriage,With parents,-9839,-4569,1,1,0,1,Cooking staff,6
100042,M,N,N,2,143000,State servant,Higher education,Civil marriage,Rented apartment,-18152,-4581,1,1,0,0,Core staff,3
100043,F,Y,N,3,380500,State servant,Lower secondary,Single / not married,House / apartment,-16641,-3630,1,1,0,1,Cleaning staff,5
100044,F,N,N,3,230000,State servant,Incomplete higher,Civil marriage,Rented apartment,-14554,-1976,1,0,1,0,,4
100045,M,N,N,1,420500,Student,Academic degree,Widow,Rented apartment,-10294,-13641,1,0,1,0,Accountants,2
100046,M,Y,N,2,73000,Working,Academic degree,Civil marriage,With parents,-23085,-1680,1,0,1,1,Security staff,4
100047,M,Y,N,2,491000,State servant,Secondary / secondary special,Single / not married,Municipal apartment,-23113,-1213,1,0,0,0,Cooking staff,4
100048,M,Y,N,0,360000,Student,Academic degree,Married,Office apartment,-19464,-7381,1,1,1,1,Drivers,1
100049,M,Y,Y,4,185000,Working,Higher education,Married,With parents,-9459,-2564,1,0,1,1,,6
100050,M,Y,N,2,411500,Pensioner,Lower secondary,Single / not married,With parents,-15668,-12907,1,0,1,0,IT staff,3
100051,F,Y,Y,1,80500,Commercial associate,Incomplete higher,Widow,Office apartment,-16457,-7195,1,0,1,1,,3
100052,F,N,Y,2,356000,Working,Lower secondary,Civil marriage,Office apartment,-15204,-423,1,0,0,0,Cleaning staff,4
100053,M,Y,N,4,315500,State servant,Incomplete higher,Married,Office apartment,-21283,-10400,1,1,0,1,Accountants,6
100054,F,Y,Y,2,218500,State servant,Lower secondary,Civil marriage,Municipal apartment,-8202,-7451,1,0,1,1,Accountants,3
100055,M,N,N,3,77500,Commercial associate,Academic degree,Civil marriage,Office apartment,-23334,-10246,1,1,0,0,Drivers,4
100056,F,N,Y,2,64500,Student,Higher education,Married,Rented apartment,-7448,-9048,1,1,0,0,Core staff,4
100057,M,N,N,0,310500,Pensioner,Lower secondary,Separated,Municipal apartment,-14986,-7483,1,0,1,0,Cooking staff,1
100058,F,N,N,0,453000,Student,Incomplete higher,Single / not married,Rented apartment,-16783,-13721,1,1,0,1,IT staff,2
100059,F,N,N,2,214500,Commercial associate,Higher education,Widow,Municipal apartment,-14653,-14024,1,1,0,1,,4
100060,F,Y,N,3,68500,Commercial associate,Academic degree,Widow,Rented apartment,-10288,-14322,1,1,0,1,Laborers,4
100061,M,Y,N,3,450000,Pensioner,Incomplete higher,Widow,Municipal apartment,-9631,-13955,1,1,1,1,Cleaning staff,5
100062,M,Y,Y,4,373000,Pensioner,Higher education,Single / not married,Municipal apartment,-10225,-12457,1,0,1,0,,6
100063,M,N,Y,0,200000,Pensioner,Incomplete higher,Separated,With parents,-15001,-8702,1,1,0,0,Managers,1
100064,F,Y,N,4,348500,Commercial associate,Higher education,Separated,Rented apartment,-22059,-4183,1,0,1,1,Cleaning staff,5
100065,F,N,N,0,377000,State servant,Incomplete higher,Separated,Rented apartment,-13527,-6302,1,1,0,0,Medicine staff,2
100066,F,N,Y,4,474500,State servant,Incomplete higher,Single / not married,Office apartment,-8607,-14919,1,1,1,0,Cooking staff,6
100067,M,N,Y,1,371500,Working,Secondary / secondary special,Civil marriage,Municipal apartment,-8093,-9495,1,1,0,0,Drivers,3
100068,M,Y,Y,3,452500,Student,Incomplete higher,Widow,Office apartment,-15930,-13606,1,0,1,1,Drivers,5
100069,F,Y,Y,0,436000,Commercial associate,Lower secondary,Widow,Rented apartment,-9959,-12954,1,1,0,1,IT staff,1
100070,F,N,N,3,471000,Pensioner,Secondary / secondary special,Married,Municipal apartment,-7820,-10150,1,1,0,0,Cleaning staff,5
100071,F,Y,Y,2,73000,Working,Incomplete higher,Separated,House / apartment,-10184,-3846,1,0,1,1,Accountants,4
100072,M,N,Y,4,476500,State servant,Academic degree,Separated,Rented apartment,-8072,-11309,1,1,0,1,Security staff,5
100073,M,N,N,2,81000,State servant,Incomplete higher,Married,House / apartment,-21900,-1501,1,0,0,0,Accountants,3
100074,M,Y,Y,1,350000,Commercial associate,Higher education,Civil marriage,With parents,-7092,-4542,1,0,0,1,Managers,2
100075,M,Y,N,0,454000,Commercial associate,Academic degree,Civil marriage,House / apartment,-12709,-4347,1,0,0,1,IT staff,1
100076,F,N,N,0,312500,Student,Secondary / secondary special,Separated,Office apartment,-14259,-10077,1,0,1,1,Cleaning staff,1
100077,F,N,N,0,401000,Working,Lower secondary,Separated,House / apartment,-9647,-5277,1,0,0,0,Drivers,2
100078,F,N,N,3,100500,Working,Academic degree,Married,Municipal apartment,-21796,-14550,1,0,1,1,Security staff,5
100079,M,N,N,3,210000,Pensioner,Incomplete higher,Married,Municipal apartment,-9199,-1494,1,0,0,1,Core staff,5
100080,M,N,Y,1,260000,Pensioner,Lower secondary,Single / not married,Rented apartment,-17238,-5761,1,0,0,0,Cleaning staff,3
100081,M,N,N,1,108500,Pensioner,Academic degree,Married,Municipal apartment,-7860,-9977,1,1,0,0,Drivers,3
100082,F,Y,Y,2,495000,Commercial associate,Academic degree,Separated,House / apartment,-11648,-12140,1,0,0,0,Medicine staff,4
100083,F,Y,N,3,209500,Pensioner,Academic degree,Widow,House / apartment,-8723,-2549,1,0,0,0,Drivers,5
100084,F,N,N,3,189500,Commercial associate,Academic degree,Single / not married,Rented apartment,-21087,-1816,1,1,1,1,Laborers,4
100085,M,Y,Y,3,204000,Commercial associate,Higher education,Civil marriage,Rented apartment,-17751,-1965,1,0,1,1,Managers,4
100086,M,N,Y,3,253000,Working,Lower secondary,Single / not married,Municipal apartment,-9551,-14124,1,1,1,1,,5
100087,M,N,Y,2,216000,Commercial associate,Academic degree,Separated,Rented apartment,-9887,-7155,1,0,0,1,Cooking staff,4
100088,M,N,N,4,431500,Pensioner,Higher education,Civil marriage,With parents,-9502,-8363,1,0,0,1,Accountants,5
100089,M,Y,N,1,151000,Commercial associate,Academic degree,Married,House / apartment,-12804,-12662,1,1,1,1,Cleaning staff,3
100090,M,N,Y,2,290000,State servant,Incomplete higher,Civil marriage,Office apartment,-8840,-5766,1,0,1,1,Security staff,3
100091,F,N,Y,0,380000,Working,Academic degree,Widow,Office apartment,-19598,-7581,1,0,1,0,Accountants,2
100092,M,Y,N,4,102500,Pensioner,Secondary / secondary special,Widow,With parents,-8282,-4059,1,1,1,0,Accountants,6
100093,F,N,N,2,397500,Student,Secondary / secondary special,Civil marriage,House / apartment,-17803,-1548,1,1,1,1,,3
100094,M,Y,N,2,208500,State servant,Higher education,Widow,House / apartment,-17144,-9157,1,1,1,0,Cleaning staff,3
100095,F,Y,N,3,208000,Commercial associate,Higher education,Civil marriage,Municipal apartment,-13291,-3711,1,0,0,0,Drivers,4
100096,M,N,Y,4,355500,State servant,Higher education,Married,With parents,-12424,-11815,1,1,0,1,Accountants,5
100097,F,N,Y,3,323000,Commercial associate,Incomplete higher,Separated,With parents,-19053,-11113,1,1,1,1,Medicine staff,5
100098,M,Y,N,1,76500,State servant,Incomplete higher,Widow,House / apartment,-23905,-13945,1,0,1,0,Managers,3
100099,M,N,Y,3,163500,State servant,Incomplete higher,Single / not married,Municipal apartment,-8745,-6495,1,1,0,1,Core staff,5
100100,M,N,Y,1,479500,Pensioner,Higher education,Married,House / apartment,-16400,-13594,1,1,0,1,Security staff,2
100101,M,N,Y,0,477500,Commercial associate,Academic degree,Widow,Office apartment,-20869,-1821,1,1,0,1,Core staff,1
100102,F,N,Y,1,106500,State servant,Academic degree,Widow,House / apartment,-23887,-9421,1,0,0,1,Medicine staff,2
100103,F,Y,N,4,145500,Working,Academic degree,Civil marriage,House / apartment,-24237,-8914,1,0,1,1,Laborers,6
100104,F,Y,N,2,453500,Working,Incomplete higher,Married,House / apartment,-17895,-2185,1,0,1,1,Cleaning staff,3
100105,F,Y,Y,3,82000,State servant,Secondary / secondary special,Civil marriage,With parents,-8435,-12961,1,0,0,1,Drivers,5
100106,F,N,Y,4,435500,Commercial associate,Incomplete higher,Civil marriage,House / apartment,-17876,-4476,1,0,1,1,Medicine staff,6
100107,F,Y,N,3,404000,State servant,Incomplete higher,Widow,Rented apartment,-9707,-11912,1,1,0,1,Cooking staff,4
100108,F,N,Y,4,90500,Pensioner,Incomplete higher,Civil marriage,Municipal apartment,-20962,-2730,1,1,1,1,Laborers,6
100109,F,N,Y,4,88000,State servant,Incomplete higher,Widow,With parents,-8020,-2339,1,1,0,0,Core staff,5
100110,F,N,Y,2,359500,Commercial associate,Lower secondary,Civil marriage,Rented apartment,-21547,-12502,1,0,0,1,Medicine staff,4
100111,M,Y,Y,2,426500,Commercial associate,Lower secondary,Widow,Municipal apartment,-10858,-4288,1,1,1,0,Cooking staff,4
100112,M,Y,Y,3,486500,Working,Lower secondary,Married,Municipal apartment,-9876,-13279,1,1,1,0,IT staff,5
100113,M,Y,N,2,310000,Commercial associate,Secondary / secondary special,Married,With parents,-14757,-12949,1,1,0,1,IT staff,4
100114,M,Y,Y,3,208000,State servant,Lower secondary,Widow,Municipal apartment,-20416,-13489,1,0,0,1,Cleaning staff,4
100115,F,N,Y,3,499500,Student,Academic degree,Married,With parents,-21176,-8238,1,0,0,0,Drivers,4
100116,F,Y,N,1,315500,Pensioner,Secondary / secondary special,Civil marriage,With parents,-15993,-2050,1,1,0,0,Cooking staff,2
100117,F,Y,Y,1,91500,Working,Academic degree,Civil marriage,With parents,-20650,-10127,1,0,1,1,Cleaning staff,3
100118,M,N,N,3,282000,Working,Secondary / secondary special,Married,Municipal apartment,-20619,-7933,1,1,0,1,Cooking staff,4
100119,F,N,N,2,116500,Pensioner,Academic degree,Widow,House / apartment,-17456,-3960,1,1,0,1,Security staff,3
100120,M,Y,N,1,246500,Student,Lower secondary,Married,With parents,-17729,-9464,1,1,0,0,Security staff,3
100121,F,N,Y,3,96000,State servant,Academic degree,Separated,With parents,-14049,-9557,1,1,0,0,Drivers,5
100122,F,N,Y,4,483500,Working,Lower secondary,Married,Rented apartment,-18985,-12515,1,1,1,0,Medicine staff,5
100123,M,N,N,4,87500,State servant,Academic degree,Separated,Office apartment,-16165,-13521,1,0,0,0,Medicine staff,6
100124,F,Y,Y,2,358000,Student,Lower secondary,Widow,House / apartment,-8484,-637,1,0,1,1,IT staff,4
100125,M,N,N,1,133000,State servant,Academic degree,Civil marriage,Office apartment,-18022,-8311,1,1,1,1,Laborers,3
100126,M,N,N,2,457500,Working,Academic degree,Separated,Rented apartment,-14456,-11819,1,0,1,0,IT staff,4
100127,M,Y,Y,1,147500,Working,Lower secondary,Civil marriage,Municipal apartment,-11962,-6765,1,0,1,1,,2
100128,M,N,N,1,319000,State servant,Incomplete higher,Married,Municipal apartment,-24469,-5608,1,1,1,1,Sales staff,2
100129,F,Y,N,2,444500,Pensioner,Higher education,Separated,Rented apartment,-22722,-5714,1,1,1,0,Cooking staff,4
100130,F,Y,N,3,71500,Pensioner,Secondary / secondary special,Civil marriage,Municipal apartment,-15403,-12244,1,1,0,0,IT staff,5
100131,F,Y,Y,4,365000,Student,Higher education,Married,House / apartment,-24401,-3697,1,0,0,0,Medicine staff,6
100132,M,Y,Y,3,331500,Commercial associate,Lower secondary,Separated,Municipal apartment,-13535,-12384,1,1,1,1,Cleaning staff,4
100133,M,Y,Y,0,263500,Commercial associate,Secondary / secondary special,Separated,Municipal apartment,-13105,-12271,1,1,0,0,Drivers,1
100134,F,N,N,2,118500,Student,Lower secondary,Civil marriage,With parents,-10691,-5417,1,0,1,1,,3
100135,F,N,Y,0,139500,Student,Lower secondary,Separated,Office apartment,-17745,-1421,1,1,0,0,Managers,2
100136,M,Y,N,2,246000,Commercial associate,Lower secondary,Civil marriage,Rented apartment,-16894,-9543,1,0,1,1,,3
100137,M,N,N,0,131500,State servant,Academic degree,Civil marriage,House / apartment,-16667,-6021,1,0,0,0,Security staff,1
100138,F,N,N,3,437500,Student,Higher education,Married,Office apartment,-9682,-8609,1,1,1,0,Cooking staff,4
100139,M,Y,Y,0,217500,Student,Lower secondary,Single / not married,With parents,-23017,-1489,1,1,0,1,Managers,2
100140,M,N,N,3,420000,Working,Lower secondary,Civil marriage,House / apartment,-14140,-9475,1,0,0,1,Accountants,4
100141,M,Y,N,4,66000,Pensioner,Lower secondary,Married,With parents,-20774,-6135,1,1,1,1,Medicine staff,5
100142,M,N,Y,4,141000,Student,Lower secondary,Widow,With parents,-14297,-13677,1,0,0,1,Security staff,6
100143,F,Y,Y,4,285500,Pensioner,Higher education,Civil marriage,With parents,-10697,-527,1,1,0,0,Sales staff,5
100144,M,N,Y,0,175000,Working,Lower secondary,Separated,With parents,-24686,-3559,1,0,0,1,Sales staff,2
100145,F,Y,N,4,498500,Commercial associate,Academic degree,Married,Municipal apartment,-16846,-4508,1,0,0,1,IT staff,6
100146,F,N,N,0,406500,State servant,Lower secondary,Married,Rented apartment,-19335,-3012,1,1,0,0,Drivers,1
100147,M,N,N,3,335000,Student,Higher education,Separated,With parents,-15355,-3331,1,1,0,1,Accountants,4
100148,M,Y,N,4,243000,Student,Academic degree,Single / not married,House / apartment,-13165,-13183,1,0,1,0,Accountants,6
100149,M,Y,Y,0,432000,State servant,Higher education,Widow,With parents,-19996,-14993,1,0,1,1,Medicine staff,2
100150,F,N,N,4,234000,Student,Lower secondary,Separated,House / apartment,-22384,-12478,1,1,0,1,Accountants,6
100151,M,Y,Y,0,183500,Student,Academic degree,Widow,Municipal apartment,-16672,-2497,1,0,1,0,Medicine staff,1
100152,F,N,N,3,420000,State servant,Lower secondary,Married,Rented apartment,-12546,-2293,1,1,0,0,IT staff,4
100153,M,Y,N,0,120000,Commercial associate,Secondary / secondary special,Married,House / apartment,-14167,-8285,1,1,1,0,Cooking staff,2
100154,M,Y,N,3,56000,Working,Academic degree,Civil marriage,Office apartment,-16394,-280,1,1,0,0,Core staff,4
100155,M,N,N,1,186500,State servant,Secondary / secondary special,Civil marriage,Municipal apartment,-22040,-9256,1,0,0,1,Cleaning staff,2
100156,M,N,N,0,243000,Student,Lower secondary,Single / not married,House / apartment,-12615,-1354,1,1,1,1,Cooking staff,1
100157,M,Y,Y,4,494000,Student,Lower secondary,Civil marriage,House / apartment,-9436,-11213,1,1,0,0,Accountants,5
100158,M,N,Y,1,203000,Commercial associate,Academic degree,Married,Office apartment,-19751,-11092,1,1,1,0,,2
100159,F,Y,Y,4,273500,Commercial associate,Secondary / secondary special,Civil marriage,Office apartment,-19999,-12673,1,1,0,1,Security staff,6
100160,F,N,N,1,145000,Student,Lower secondary,Single / not married,Office apartment,-16678,-13075,1,0,0,0,Drivers,2
100161,M,N,N,3,234500,Working,Secondary / secondary special,Single / not married,Rented apartment,-21573,-5896,1,1,0,0,Core staff,4
100162,F,N,Y,3,63000,Working,Incomplete higher,Widow,House / apartment,-17630,-14151,1,1,0,1,Medicine staff,5
